 client_name,raw,raw-inprocess,raw-completed,processed,processed-uploading,processed-completed
a1prd.no.trinity-health.org, 0, 20, 14459, 2, 13, 5657 
akprod.fmhdc.lhsnet.org, 0, 25, 17485, 10, 22, 3992 
careb.chwb_ca.cernerasp.com, 0, 0, 5769, 209, 2, 1397 
ecisa.chw_ca.cernerasp.com, 0, 0, 1393, 0, 0, 367 
p0022.nkcmh_mo.cernerasp.com, 0, 41, 8759, 0, 14, 3915 
p0028.dtrt_mi.cernerasp.com, 0, 49, 14619, 0, 22, 3776 
p0033.chld_mn.cernerasp.com, 0, 46, 14691, 0, 12, 3955 
p0036.merc_il.cernerasp.com, 0, 25, 8587, 11, 9, 3404 
p005.mth_tn.cernerasp.com, 0, 33, 8738, 8, 12, 3647 
p0070.ault_oh.cernerasp.com, 0, 45, 8820, 9, 16, 3906 
p0102.ghs_ia.cernerasp.com, 0, 42, 8825, 9, 12, 3884 
p0108.rmc_sc.cernerasp.com, 0, 33, 14686, 10, 18, 3884 
p0116.midh_mi.cernerasp.com, 0, 48, 14670, 2, 17, 3932 
p0138.hs_al.cernerasp.com, 0, 0, 14704, 240, 0, 6719 
p0141.hart_mo.cernerasp.com, 0, 29, 14644, 2, 15, 3836 
p0143.ccha_ct.cernerasp.com, 0, 27, 8802, 9, 19, 3968 
p0148.rutl_vt.cernerasp.com, 279, 16, 14436, 2, 6, 4094 
p0151.oak_mi.cernerasp.com, 0, 39, 14397, 11, 18, 3982 
p0182.medc_de.cernerasp.com, 0, 28, 8809, 0, 16, 3842 
p0200.ejef_la.cernerasp.com, 0, 18, 14703, 10, 15, 3909 
p0224.ahsw_ca.cernerasp.com, 0, 46, 14429, 3, 14, 3564 
p0234.bltm_wi.cernerasp.com, 0, 34, 15495, 8, 10, 3910 
p0245.hmh_ca.cernerasp.com, 0, 0, 63, 0, 0, 50 
p0268.lcox_mo.cernerasp.com, 0, 42, 14447, 2, 13, 3852 
p101.cvha_ks.cernerasp.com, 0, 43, 14625, 8, 10, 3873 
p1011.bh_al.cernerasp.com, 0, 41, 14680, 0, 15, 3912 
p1043.lapt_in.cernerasp.com, 0, 58, 8817, 11, 15, 3943 
p1048.sjhs_ok.cernerasp.com, 0, 26, 14650, 2, 22, 3871 
p108.east_me.cernerasp.com, 0, 41, 14602, 9, 23, 3848 
p1085.cmh_fl.cernerasp.com, 0, 24, 14716, 11, 17, 3954 
p115.umc_tx.cernerasp.com, 0, 20, 8830, 2, 10, 3785 
p117.fmol_la.cernerasp.com, 0, 17, 8824, 8, 12, 3697 
p118.lrmc_fl.cernerasp.com, 0, 15, 14681, 331, 121, 3541 
p121.albr_pa.cernerasp.com, 0, 24, 8831, 0, 56, 3826 
p122.wjef_la.cernerasp.com, 0, 0, 14730, 239, 0, 7198 
p126.univ_nm.cernerasp.com, 0, 28, 14667, 8, 16, 3788 
p1318.win_mn.cernerasp.com, 0, 37, 12952, 2, 20, 3516 
p134.stju_tn.cernerasp.com, 0, 36, 8819, 11, 15, 3994 
p135.chld_dc.cernerasp.com, 0, 38, 8732, 9, 13, 3878 
p136.norw_ct.cernerasp.com, 0, 34, 14705, 0, 4, 4383 
p137.ftmc_oh.cernerasp.com, 0, 42, 14617, 0, 16, 3843 
p144.dubo_pa.cernerasp.com, 0, 29, 8845, 0, 24, 3973 
p1467.city_ca.cernerasp.com, 0, 34, 8831, 2, 11, 3882 
p149c.ahs_fl.cernerasp.com, 0, 20, 8731, 7, 10, 4104 
p149e.ahs_fl.cernerasp.com, 0, 13, 12887, 0, 17, 2982 
p150.nash_nc.cernerasp.com, 0, 14, 8855, 5, 16, 3917 
p1511.baxt_ar.cernerasp.com, 0, 22, 8854, 2, 14, 6059 
p152c.uhs_pa.cernerasp.com, 0, 23, 14621, 11, 82, 3689 
p152e.uhs_pa.cernerasp.com, 0, 43, 14627, 21, 284, 3511 
p152w.uhs_pa.cernerasp.com, 0, 25, 14555, 0, 20, 3628 
p153.watr_ct.cernerasp.com, 0, 26, 14714, 0, 17, 3960 
p1539.crh_in.cernerasp.com, 0, 39, 8835, 8, 14, 3942 
p154.anmc_ak.cernerasp.com, 0, 30, 14705, 9, 13, 3943 
p155.mphh_ca.cernerasp.com, 0, 69, 14667, 2, 12, 3947 
p1568.utwn_pa.cernerasp.com, 0, 48, 14672, 10, 17, 3943 
p1578.scnt_ms.cernerasp.com, 0, 52, 14682, 2, 16, 3971 
p159.unvr_ny.cernerasp.com, 0, 25, 8827, 0, 15, 3828 
p1617.nymh_ny.cernerasp.com, 0, 44, 14680, 9, 10, 3856 
p163.palo_ca.cernerasp.com, 0, 36, 14683, 2, 19, 3924 
p164.choc_ca.cernerasp.com, 0, 54, 14666, 8, 17, 3914 
p1646.pha_sc.cernerasp.com, 0, 35, 8782, 0, 9, 3752 
p170.fthc_wi.cernerasp.com, 0, 44, 14247, 10, 17, 3924 
P1751.flho_fl.cernerasp.com, 0, 22, 14486, 0, 21, 3560 
p197.char_nc.cernerasp.com, 0, 0, 14027, 95, 2, 7476 
p1987.wrmc_ar.cernerasp.com, 0, 23, 8841, 7, 9, 3913 
p205.sgen_oh.cernerasp.com, 0, 16, 8810, 0, 18, 3953 
p215.napl_fl.cernerasp.com, 0, 39, 8805, 9, 18, 3829 
p220.rex_nc.cernerasp.com, 0, 14, 12575, 0, 21, 2802 
p2200.crtn_mi.cernerasp.com, 0, 23, 14716, 2, 13, 3990 
p221.lacj_ca.cernerasp.com, 0, 0, 14735, 239, 0, 7352 
p227.ohc_ok.cernerasp.com, 0, 26, 8797, 0, 11, 3768 
p23.tual_or.cernerasp.com, 0, 46, 14657, 2, 16, 3971 
p230.msjh_nc.cernerasp.com, 0, 41, 8795, 9, 11, 3907 
p232.atln_nj.cernerasp.com, 0, 56, 14664, 0, 14, 3917 
p233.univ_ut.cernerasp.com, 0, 59, 14658, 10, 17, 3923 
p2384.high_ky.cernerasp.com, 0, 12, 8855, 0, 14, 4147 
p2404.caym_ky.cernerasp.com, 0, 0, 0, 0, 0, 0 
p244.life_md.cernerasp.com, 0, 19, 14668, 0, 15, 3865 
p2463.casa_az.cernerasp.com, 0, 34, 8838, 9, 14, 3961 
p25.mrth_va.cernerasp.com, 0, 28, 14706, 0, 23, 3951 
p2531.nhs_de.cernerasp.com, 0, 53, 14679, 4, 18, 3987 
p261.nah_az.cernerasp.com, 0, 49, 14630, 0, 5, 4609 
p2663.nbhs_ca.cernerasp.com, 0, 58, 8777, 0, 19, 4050 
p275.trum_mo.cernerasp.com, 0, 22, 14574, 2, 14, 3899 
p2857.luci_ca.cernerasp.com, 0, 21, 12381, 134, 41, 2401 
p2887.drmc_ca.cernerasp.com, 0, 50, 14663, 3, 13, 3980 
p29.stvn_nm.cernerasp.com, 0, 44, 14453, 0, 8, 3844 
p290.nbro_fl.cernerasp.com, 0, 19, 14675, 2, 10, 3885 
p2916.ctrs_ny.cernerasp.com, 0, 42, 7501, 0, 9, 2960 
p2917.sher_il.cernerasp.com, 0, 65, 14671, 4, 17, 3959 
p30.bayc_fl.cernerasp.com, 0, 45, 14536, 45, 278, 3439 
p32.stma_md.cernerasp.com, 0, 38, 15525, 2, 13, 3975 
p322.east_al.cernerasp.com, 0, 31, 14689, 0, 16, 3956 
p3291.ahau_tx.cernerasp.com, 0, 52, 14576, 2, 17, 3807 
p3296.ahmi_wi.cernerasp.com, 0, 0, 14711, 240, 0, 7132 
p3298.ahde_mi.cernerasp.com, 0, 36, 14565, 11, 12, 3757 
p3299.ahtu_az.cernerasp.com, 0, 66, 14623, 4, 15, 3886 
p3347.cern_clin.cernerasp.com, 0, 25, 5177, 0, 7, 2034 
p3385.chld_mo.cernerasp.com, 0, 25, 14694, 2, 20, 3915 
p343.torr_ca.cernerasp.com, 0, 45, 8780, 0, 11, 3955 
p3502.uhs_ny.cernerasp.com, 0, 0, 0, 0, 0, 0 
p41.mhgr_dc.cernerasp.com, 0, 31, 14579, 2, 9, 3796 
p42.fmc_ga.cernerasp.com, 0, 19, 14696, 2, 20, 3936 
p421.ehs_il.cernerasp.com, 0, 37, 14607, 0, 10, 3674 
p4298.cphy_pr.cernerasp.com, 0, 62, 14521, 4, 18, 3707 
p4298b.cphy_pr.cernerasp.com, 0, 26, 8767, 0, 250, 3358 
p43.ach_fl.cernerasp.com, 0, 25, 8842, 0, 15, 4072 
p4300.cphyc_pr.cernerasp.com, 0, 0, 49, 2, 0, 26 
p44.lowe_ma.cernerasp.com, 0, 43, 14662, 2, 8, 3936 
p5088.tmmc_fl.cernerasp.com, 0, 12, 14717, 0, 12, 3940 
p5102.bay_fl.cernerasp.com, 0, 27, 14712, 10, 13, 3947 
p52.sach_ca.cernerasp.com, 0, 37, 8832, 0, 20, 4072 
p67.barn_hs.cernerasp.com, 0, 18, 14618, 4, 11, 5228 
p810.univ_mo.cernerasp.com, 0, 44, 8811, 3, 16, 3880 
p831.mcvh_va.cernerasp.com, 0, 21, 14546, 2, 16, 3836 
p8810.ric_il.cernerasp.com, 0, 31, 14621, 2, 18, 3974 
p965.deac_mt.cernerasp.com, 0, 38, 14647, 11, 18, 3888 
p9900.cern_empl.cernerasp.com, 0, 19, 8855, 0, 88, 3870 
p9912.cern_hec.cernerasp.com, 0, 13, 12466, 0, 11, 3465 
p9984.cern_comc.cernerasp.com, 0, 56, 14679, 2, 14, 3919 
prd.pdc.intra.midhosp.org, 0, 40, 14644, 0, 6, 4109 
prod.bdcm.bannerhealth.com, 0, 37, 13840, 3, 56, 4608 
prod.bhs.org, 0, 26, 14314, 2, 18, 7630 
prod.bmcjax.com, 0, 0, 27997, 452, 0, 6923 
prod.care_ri.cernerasp.com, 0, 65, 15354, 0, 21, 5726 
prod.ccbhs.org, 0, 43, 17535, 10, 16, 3858 
prod.cerner.spectrum-health.org, 0, 41, 16539, 0, 12, 3899 
prod.cghmc.com, 0, 38, 17342, 2, 17, 3983 
prod.childrens.sea.kids, 0, 40, 14611, 2, 18, 3977 
prod.chkd.net, 0, 26, 8794, 0, 13, 3947 
prod.chla_ca.cernerasp.com, 0, 67, 14580, 4, 13, 3932 
prod.chp_in.cernerasp.com, 0, 38, 14488, 0, 15, 3840 
prod.evergreenhealthcare.org, 0, 36, 8890, 2, 18, 3953 
prod.hca.co.ventura.ca.us, 0, 7, 8798, 2, 9, 4245 
prod.hosp.utmck.edu, 0, 59, 14447, 10, 16, 3833 
prod.hrsh_pa.cernerasp.com, 0, 9, 8841, 0, 8, 3799 
prod.lmh_ks.cernerasp.com, 0, 20, 8848, 0, 22, 4083 
prod.mcis.washington.edu, 0, 0, 24111, 238, 0, 7074 
prod.meml_tx.mh.org, 0, 28, 14416, 4, 9, 5814 
prod.memorialsb.org, 0, 5, 2966, 0, 6, 2785 
prod.mhc.net, 0, 59, 14640, 0, 26, 6533 
prod.mhin.com, 0, 40, 8888, 0, 10, 3924 
prod.no.trinity-health.org, 0, 24, 10884, 4, 3, 4259 
prod.okheart.com, 0, 41, 8871, 4, 11, 3986 
prod.pdc.nmh.org, 0, 24, 14575, 0, 10, 3989 
prod.pdc.tch.harvard.edu, 0, 39, 8787, 0, 13, 3878 
prod.slh.stlukes.com, 0, 29, 8833, 4, 15, 3953 
prod.somr_nj.cernerasp.com, 0, 35, 14597, 0, 9, 4085 
prod.sths_tn.cernerasp.com, 0, 24, 14668, 2, 12, 3882 
prod.trinityhealth.local, 0, 18, 8830, 0, 11, 3958 
prod.uimcc.uic.edu, 0, 12, 4432, 0, 2, 2015 
prod.wth.org, 0, 44, 8878, 2, 5, 3760 
usprep.vccerner.net, 0, 4, 725, 0, 8, 683 
wshprod.wellspan.org, 0, 30, 14603, 2, 19, 3886 
