 client_name,raw,raw-inprocess,raw-completed,processed,processed-uploading,processed-completed
p2531.nhs_de.cernerasp.com, 0, 10, 11177, 0, 6, 4770 
p261.nah_az.cernerasp.com, 0, 11, 14580, 0, 0, 11646 
p2663.nbhs_ca.cernerasp.com, 0, 0, 8856, 0, 3, 4710 
p275.trum_mo.cernerasp.com, 0, 2, 14738, 3, 7, 4635 
p2857.luci_ca.cernerasp.com, 0, 0, 12417, 6, 5, 3069 
p2887.drmc_ca.cernerasp.com, 0, 3, 14717, 0, 7, 4794 
p29.stvn_nm.cernerasp.com, 0, 6, 14672, 0, 3, 4590 
p290.nbro_fl.cernerasp.com, 0, 12, 14704, 3, 5, 4599 
p2916.ctrs_ny.cernerasp.com, 0, 2, 6845, 0, 6, 3595 
p2917.sher_il.cernerasp.com, 0, 19, 11167, 0, 10, 4971 
p30.bayc_fl.cernerasp.com, 0, 22, 14573, 9, 216, 4074 
p32.stma_md.cernerasp.com, 0, 0, 15113, 3, 11, 4677 
p322.east_al.cernerasp.com, 0, 0, 14737, 0, 7, 4668 
p3291.ahau_tx.cernerasp.com, 0, 9, 14667, 0, 39, 4514 
p3296.ahmi_wi.cernerasp.com, 0, 0, 14733, 0, 0, 8299 
p3298.ahde_mi.cernerasp.com, 0, 0, 14629, 3, 14, 4435 
p3299.ahtu_az.cernerasp.com, 0, 6, 14704, 6, 3, 4622 
p3347.cern_clin.cernerasp.com, 0, 0, 4566, 0, 7, 2329 
p3385.chld_mo.cernerasp.com, 0, 0, 14739, 3, 4, 4647 
p343.torr_ca.cernerasp.com, 0, 0, 8829, 0, 5, 4638 
p3502.uhs_ny.cernerasp.com, 0, 0, 0, 0, 0, 0 
p41.mhgr_dc.cernerasp.com, 0, 15, 14667, 0, 13, 4505 
p42.fmc_ga.cernerasp.com, 0, 3, 14726, 3, 8, 4678 
p421.ehs_il.cernerasp.com, 0, 6, 14607, 0, 29, 4214 
p4298.cphy_pr.cernerasp.com, 0, 11, 11085, 0, 11, 4336 
p4298b.cphy_pr.cernerasp.com, 0, 3, 8803, 0, 98, 4194 
p43.ach_fl.cernerasp.com, 0, 0, 8872, 0, 2, 4706 
p4300.cphyc_pr.cernerasp.com, 0, 0, 5, 0, 0, 5 
p44.lowe_ma.cernerasp.com, 0, 6, 14731, 2, 8, 4658 
p5088.tmmc_fl.cernerasp.com, 0, 18, 14726, 0, 6, 4671 
p5102.bay_fl.cernerasp.com, 0, 11, 14742, 0, 13, 4800 
p52.sach_ca.cernerasp.com, 0, 18, 8795, 0, 3, 4677 
p67.barn_hs.cernerasp.com, 0, 0, 14670, 0, 0, 7590 
p810.univ_mo.cernerasp.com, 0, 0, 8853, 0, 8, 4625 
p831.mcvh_va.cernerasp.com, 0, 2, 11074, 0, 8, 4744 
p8810.ric_il.cernerasp.com, 0, 5, 14626, 2, 10, 4718 
p965.deac_mt.cernerasp.com, 0, 10, 14702, 2, 12, 6047 
p9900.cern_empl.cernerasp.com, 0, 0, 8877, 0, 83, 4626 
p9912.cern_hec.cernerasp.com, 0, 6, 12269, 0, 8, 4121 
p9984.cern_comc.cernerasp.com, 0, 0, 14752, 0, 14, 4792 
prd.pdc.intra.midhosp.org, 0, 0, 14201, 0, 5, 4569 
prod.bdcm.bannerhealth.com, 0, 0, 16770, 42, 123, 5733 
prod.bhs.org, 0, 0, 16177, 0, 0, 7677 
prod.bmcjax.com, 0, 0, 10230, 0, 0, 4008 
prod.care_ri.cernerasp.com, 0, 8, 17654, 0, 15, 7958 
prod.ccbhs.org, 0, 5, 17598, 0, 14, 4652 
prod.cerner.spectrum-health.org, 0, 6, 17057, 0, 2, 4472 
prod.cghmc.com, 0, 6, 17528, 2, 18, 7990 
prod.childrens.sea.kids, 0, 14, 14636, 2, 7, 4680 
prod.chkd.net, 0, 12, 8808, 0, 8, 4764 
prod.chla_ca.cernerasp.com, 0, 6, 15274, 0, 7, 4716 
prod.chp_in.cernerasp.com, 0, 0, 14610, 0, 3, 4396 
prod.evergreenhealthcare.org, 0, 2, 8891, 2, 9, 4677 
prod.hca.co.ventura.ca.us, 0, 0, 8782, 0, 0, 8196 
prod.hosp.utmck.edu, 0, 6, 14617, 2, 11, 4667 
prod.hrsh_pa.cernerasp.com, 0, 17, 8829, 0, 4, 4510 
prod.lmh_ks.cernerasp.com, 0, 10, 8869, 0, 6, 4726 
prod.mcis.washington.edu, 0, 0, 27206, 0, 0, 8169 
prod.meml_tx.mh.org, 0, 0, 14431, 11, 58, 7520 
prod.memorialsb.org, 0, 2, 2957, 0, 6, 2884 
prod.mhc.net, 0, 5, 14659, 0, 18, 7850 
prod.mhin.com, 0, 6, 8922, 0, 4, 4604 
prod.no.trinity-health.org, 0, 0, 14271, 0, 0, 6606 
prod.okheart.com, 0, 7, 8924, 0, 9, 4758 
prod.pdc.nmh.org, 0, 12, 14629, 0, 5, 4589 
prod.pdc.tch.harvard.edu, 0, 9, 8832, 0, 9, 4624 
prod.slh.stlukes.com, 0, 5, 8864, 0, 3, 4788 
prod.somr_nj.cernerasp.com, 0, 13, 13998, 0, 4, 4694 
prod.sths_tn.cernerasp.com, 0, 18, 14696, 0, 21, 4594 
prod.trinityhealth.local, 0, 7, 8836, 2, 6, 5754 
prod.uimcc.uic.edu, 0, 4, 8919, 0, 7, 4520 
prod.wth.org, 0, 6, 8924, 0, 9, 4472 
usprep.vccerner.net, 0, 2, 837, 0, 5, 813 
wshprod.wellspan.org, 0, 3, 13026, 3, 6, 4970 
